dyu,fr,dyu_len,fr_len
a bi ji min na,il boit de l’eau,14,16
a le dalakolontɛ lon bɛ,il se plaint toujours,23,21
mun fɛn dɔ,quoi quelque chose,10,18
o bɛ bi bɔra fo gubeta,tous sortent excepté gubetta,22,28
a ale lo bi da bugɔ la,ah c’est lui… il sonne…,22,23
e nafa ta ra,et sans rapport,12,15
sanu baa de bi n bolo,jai suffisamment dor,21,20
onhon mɛ laɲini jumanan,oui mais dans quel but ,23,23
kamele baba,de grands gars forts,11,20
duguden dɔ minɛ na,un civil a été capturé,18,22
sigi yɔrɔ dɔ,d’autres chaises,12,16
surukuwuru binaani ni mugan,quarantesept renards,27,20
jɔn le ka ɲigɛn ni fa,qui a bouché les toilettes,21,26
awɔ aw be n gwɛnna,alors vous me chassez ,18,22
livru nin kadi nn ye,jaime ce livre,20,14
a be bɔ a kɔnɔ,elle sort par le fond,14,21
kulɛr sabani sa,achète les trois couleurs,15,25
n filila,jai fait une erreur,8,19
jona fɛnɛn tɛ,surtout pas trop tôt,13,20
a be nne fana lasiran,et moi ça me fait des peurs…,21,28
ni bonni kaɲi dɛ,quelle jolie maison ,16,20
a bɔra la,il s’en est tiré,9,16
jɔn le ka kuran faga ,qui a éteint la lumière ,21,24
a te seka kè ka tèmè ni kan,il ne peut pas faire plus,27,25
a be faransi,il est présent en france,12,24
a tun be basikɛti zuela,il pratiquait le baseball,23,25
fama ka kun wili,le commissaire lève la tête,16,27
an bi na don suu fɛ,nous rentrerons dans la nuit,19,28
i ka kɛ ka ɲɛ tuguni,t’as encore bien fait…,20,22
n ta fɛ,je ne veux pas …,7,16
an siranna,nous avions eu peur,10,19
zuɛri binaani,une vingtaine de joueurs,13,24
a ka kan ka maloya san,vous devriez avoir honte,22,24
nɛnɛ be yi,le temps est froid,10,18
jii be yi,il y a de leau ,9,15
a lɔni le,elle est debout,9,15
i be bolora bara juman le kɛra,quel métier faitesvous ,30,23
deni ɲakisɛ ye bulalaman ye,cet enfant a les yeux bleus,27,27
a kɛ cogo le,c’est l’habitude,12,16
nin bɛ be tumadɔ tan,tout cela demande du temps,20,26
